1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0.013633061,0.009906635,0.012473,0.01319514,0.206938965,-1.518003878,0.029022,2.00E-06,0.016792823,113.6122449,32.64315671,138,17.7912,-0.524785149,-1.621986082,153,70,118.1167703,0.013401902,0.009805182,0.012023,0.01264213,0.254736404,-1.48064961,0.029021,0.000408,0.016548941,136.0784314,205.7729665,70,0,4.398569228,18.35260638,1130,70,245.0094036,0.00683497,0.009673676,0.000241,0.000351376,1.164627371,-0.178462525,0.028997,2.00E-06,0.011805127,125.07,148.4222243,126,83.0256,6.183628933,39.04117622,1130,70,193.5235645,1
0.176876262,0.328221844,0.0509895,0.072376826,2.746796158,7.799352243,1.629773,0.000309,0.369391122,487,392.2646568,395.5,255.7485,1.692933069,1.546272459,1476,222,622.3961378,0.128085483,0.254164417,0.029409,0.043299333,3.309582576,12.65970743,1.482584,0.000143,0.282651121,308.8275862,214.9474957,264,63.7518,3.713848577,12.83586348,1293,216,375.2070233,0.07429244,0.198066877,0.00185,0.002548589,4.68862506,25.95098964,1.478154,0.000117,0.21061232,383.66,313.268698,307,126.021,2.542833908,5.425482609,1476,216,494.3186219,0
0.003495814,0.004608263,0.001604816,0.001621937,1.884810821,2.64910252,0.018667888,0.000176633,0.005718249,96.85714286,22.093596,88,0,1.932871482,1.804209184,150,88,99.25724155,0.001427914,0.003717962,0.000157628,0.000228286,3.658122997,13.57511713,0.020584825,1.48E-06,0.00395856,588.9861111,413.6819726,741.5,457.3821,-0.272712096,-1.735861138,1108,76,718.0950978,0.001042023,0.002882315,2.51E-05,3.47E-05,4.084852223,17.82997163,0.018667888,1.48E-06,0.003051307,451.19,414.9501052,150,109.7124,0.358597505,-1.731708957,1108,76,611.5833304,1
0.004228556,0.005575604,0.000985637,0.001195407,1.088090084,-0.287253223,0.018410147,9.46E-06,0.006925693,98.22580645,28.20840262,88,0,2.800722142,8.100518985,218,76,102.0703426,0.001918886,0.005632782,0.000105165,0.000153394,3.661034937,13.73272347,0.032340382,1.47E-06,0.005911897,599.4347826,376.7881476,770,240.1812,-0.435652184,-1.484070366,1094,76,706.564817,0.001324032,0.003574537,6.73E-05,9.65E-05,3.100149065,8.892516414,0.018410147,1.47E-06,0.003795076,444.06,389.9129097,147,105.2646,0.311358919,-1.699682819,1094,76,589.6618014,1
0.003079973,0.005691283,0.000934471,0.000975486,2.881301318,8.274495736,0.026785701,1.14E-05,0.006387272,96.53333333,27.04241029,88,0,3.245916812,10.95611479,218,76,100.1279182,0.00132608,0.004443249,3.45E-05,4.02E-05,4.790658723,24.28599126,0.029226445,7.08E-06,0.004606399,649.3714286,376.6827817,794,235.7334,-0.564116188,-1.208588153,1218,76,749.3638445,0.000932844,0.003334094,2.86E-05,3.11E-05,5.731183748,36.39433399,0.026335128,7.08E-06,0.003446044,483.52,404.8923159,417,505.5666,0.198671402,-1.704259527,1218,76,629.3568145,1
0.009259957,0.010660654,0.002485,0.003616061,0.630917439,-1.487616884,0.026942,4.60E-05,0.013944714,97.91304348,35.81887903,70,0,0.454870058,-1.811598477,153,70,103.9912204,0.002796338,0.00713615,9.00E-06,1.19E-05,2.542353638,4.879181534,0.026939,1.00E-06,0.007621206,946,395.5276955,1130,0,-1.651511778,0.775396318,1145,70,1024.366361,0.00215318,0.006355171,1.60E-05,2.08E-05,3.04490604,7.785825467,0.026916,1.00E-06,0.006679857,750.94,499.047311,1130,0,-0.547082584,-1.701376385,1145,70,900.2603068,1
0.007538636,0.00881155,0.002712,0.002603446,1.147765374,-0.152138343,0.02653,0.000253,0.011494417,100.3939394,34.01280953,70,0,0.207877184,-1.971901799,150,70,105.8336316,0.003752433,0.007201264,3.10E-05,4.60E-05,2.16456913,3.57861379,0.026515,6.00E-06,0.008072481,738.641791,500.6142197,1130,0,-0.493097025,-1.758531547,1130,70,890.2054685,0.00251438,0.006129849,2.25E-05,2.30E-05,2.877386853,7.484428369,0.026491,6.00E-06,0.006597076,528.02,508.3576245,138,100.8168,0.327673303,-1.89041556,1130,70,731.1964989,1
0.000323698,0.000809011,1.00E-05,1.48E-05,5.228245331,32.33454446,0.005875,3.00E-06,0.000865385,111.968254,35.8698221,138,0,-0.625314913,-1.624541535,138,62,117.4866423,0.000310243,0.000591764,1.20E-05,7.41E-06,1.815935922,1.930738829,0.002146,6.00E-06,0.000661037,938.9459459,401.2193876,1130,0,-1.527801678,0.353620621,1130,70,1018.943451,0.00022654,0.000449516,1.10E-05,1.04E-05,2.29385118,4.578409218,0.002146,3.00E-06,0.000501362,417.95,469.4340968,138,100.8168,0.846737967,-1.276350471,1130,62,626.7749915,1
0.00244102,0.005260947,0.0002495,0.000293555,3.447386938,13.09132186,0.029801,9.00E-06,0.005751747,87.88,35.11883035,66,5.9304,0.728471959,-1.469508404,141,62,94.50693096,0.00110666,0.003295718,1.75E-05,1.56E-05,3.431369502,10.43537945,0.014541,6.00E-06,0.003445173,965,382.3218539,1130,0,-1.807998637,1.310466607,1130,61,1036.567219,0.00122076,0.003889266,6.00E-05,7.86E-05,5.095489399,29.70667663,0.029776,6.00E-06,0.004057756,526.44,516.9476327,138,112.6776,0.310792886,-1.911383749,1130,61,736.0037908,1
0.014309104,0.011309514,0.0167185,0.015543578,-0.046690843,-1.791561002,0.029187,0.000124,0.018165651,121.2083333,31.80121658,138,0,-0.940754027,-1.036613247,153,70,125.2266279,0.013242615,0.011469444,0.0100775,0.014686636,0.122104107,-1.764236632,0.029172,5.00E-06,0.01744664,247.7307692,381.8971279,70,0,1.838907705,1.452764625,1145,61,452.1186025,0.00688626,0.010497934,0.0001445,0.00020534,1.141163452,-0.474576276,0.029163,3.00E-06,0.012511,187,282.2207389,137.5,100.0755,2.96653953,7.067754387,1145,61,337.373769,1
